term,counts
covid 19,405770
19 vaccine,37178
19 cases,14476
19 pandemic,13988
19 vaccines,12029
covid19 coronavirus,8897
19 vaccination,8454
fully vaccinated,8438
new covid,7801
pfizer covid,7726
new cases,7498
covid19 vaccine,6224
coronavirus covid19,6013
2021 10,5986
nuevos casos,5548
casos covid,5240
10 2021,5153
19 di,4960
public health,4780
sars cov,4414
19 deaths,4404
get vaccinated,4328
positive covid,4234
19 booster,4223
vaccine mandate,4053
covid19 pandemic,3987
ages 11,3970
coronavirus covid_19,3941
get covid,3885
vacunación covid,3846
pandemi covid,3727
24 horas,3675
due covid,3669
vaccine children,3611
updated covid,3494
data covid19,3419
vacuna covid,3360
data scientists,3301
datascience analytics,3297
analytics data,3297
covid insights,3296
24 hours,3229
insights data,3216
scientists usafacts,3213
coronavirus cases,3170
coronavirus pandemic,3164
últimas 24,3158
children ages,3144
vaccine mandates,3086
pfizer biontech,3084
tested positive,3062
booster shots,3032
kamtibmas kondusif,3010
sosialisasiedukasiprokescipta kamtibmas,2947
vaksinasi covid,2916
da covid,2900
covid19 covid_19,2889
health care,2834
ed sheeran,2827
covid cases,2806
от covid,2804
covid19 cases,2802
cases covid,2796
coronavirus vaccine,2769
delta variant,2765
booster shot,2752
vaccinated covid,2669
covid19 vaccines,2629
vaksin covid,2587
long term,2587
coronavirus covid,2557
new york,2529
oktober 2021,2508
active cases,2491
united states,2482
10 26,2441
pandemia covid,2414
vaccine kids,2342
19 vaccinations,2329
pandemia covid19,2317
year old,2310
19 patients,2296
dosis vacuna,2290
covid19 vaccination,2278
19 test,2277
11 años,2262
100 000,2254
nuevos contagios,2223
vaccinated people,2219
died covid,2202
casos positivos,2156
kasus covid,2153
vacunas covid,2149
year olds,2144
last year,2139
boris johnson,2132
covid vaccine,2131
19 dan,2116
covid19 covid,2114
covid deaths,2110
natural immunity,2105
dose covid,2085
new deaths,2073
covid covid19,2066
vacunación covid19,2057
side effects,2055
19 protocols,2047
new coronavirus,2044
coronavirus restrictions,1994
vaccine doses,1984
tercera dosis,1969
contagios covid,1948
october 2021,1916
children 11,1914
casos coronavirus,1893
19 testing,1888
19 update,1876
emergency use,1873
confirmed covid,1859
casos activos,1838
covid_19 covid19,1820
19 infection,1813
10 22,1808
vacina covid,1794
mental health,1790
many people,1782
safe effective,1782
people died,1780
cases per,1779
19 case,1770
19 outbreak,1760
biden administration,1728
delta plus,1719
penyebaran covid,1718
last 24,1713
variante delta,1709
via youtube,1703
vaccine safe,1697
19 infections,1695
datavisualization datascience,1692
usafacts datavisualization,1690
di indonesia,1686
bannon drlimengyan1,1682
climate change,1676
care workers,1667
coronavirus argentina,1652
19 via,1650
spread covid,1648
19 restrictions,1636
muertes covid,1636
next week,1631
casos nuevos,1625
niños 11,1619
26 updated,1613
fda authorizes,1612
tests positive,1609
dataanalysis datascience,1606
usafacts dataanalysis,1606
22 updated,1589
vacuna covid19,1582
upayakan pencegahan,1581
kids 11,1581
contre covid,1574
last week,1566
corona covid19,1560
19 shot,1551
casos covid19,1537
protokol kesehatan,1507
โคว ด19,1505
impact covid,1501
pandemia coronavirus,1498
19 yang,1494
getting covid,1488
cases deaths,1486
authorizes pfizer,1476
death toll,1476
19 virus,1472
health officials,1467
children aged,1462
biontech covid,1448
12 17,1434
white house,1430
vaccine booster,1420
11 year,1392
gt gt,1392
daily covid,1391
new covid19,1385
octubre 2021,1377
million people,1367
28 10,1349
11 years,1342
26 10,1326
herd immunity,1325
limengyan covid19,1323
gon na,1320
19 em,1318
deaths per,1313
per 1k,1307
confirmed cases,1298
aged 11,1288
doses covid,1288
wear mask,1286
masa pandemi,1285
casos confirmados,1282
闫丽梦 郭文贵,1273
10 21,1267
fda panel,1267
1k population,1247
vacunarte covid19,1243
17 años,1241
18 años,1226
ciptakondusifpandemiedukasi upayakan,1220
looks like,1218
daily thanks,1217
population county,1210
25 10,1208
lord sumption,1204
covid coronavirus,1200
virus covid,1200
cases reported,1199
pcr test,1198
big pharma,1197
dan dolayı,1192
27 10,1188
coronavirus corona,1187
years old,1183
die covid,1180
du covid,1177
jair bolsonaro,1173
fake news,1169
around world,1166
covid19 yanlimeng,1165
novel coronavirus,1162
per capita,1161
covid19 corona,1160
high risk,1156
due coronavirus,1156
supreme court,1155
take covid,1148
new zealand,1146
joe biden,1138
19 response,1136
vacinação covid,1130
test positive,1128
19 niños,1127
vacunas covid19,1124
ministerio salud,1124
郭文贵 班农,1122
young children,1122
ice cube,1119
normas bioseguridad,1119
sözleşmeli personel,1115
770 sözleşmeli,1115
need know,1112
2020 yilinda,1104
alinmayan 770,1104
