term,counts
covid,470406
19,412874
covid19,247297
coronavirus,136270
vaccine,85003
cases,52823
new,50413
amp,49144
people,48020
pandemic,38707
2021,35572
health,35318
get,34079
deaths,33157
10,32594
vaccines,31641
vaccinated,30418
vaccination,29229
casos,25767
children,25572
us,25525
via,25044
virus,24133
pfizer,23485
news,23327
11,23133
di,23033
die,22550
one,21147
data,19690
like,18072
da,18061
24,17674
china,17139
000,17133
dan,16420
kids,16118
world,15849
year,15691
need,15342
fda,14940
today,14752
time,14560
booster,14531
would,14446
et,14221
still,14184
test,14137
know,14115
12,13956
pandemia,13869
per,13789
state,13732
2020,13574
covid_19,13521
government,13334
day,13249
dose,13005
corona,13001
many,12854
des,12759
first,12732
says,12717
na,12571
vacunación,12527
death,12437
take,12308
30,12225
last,11904
il,11817
nuevos,11765
25,11665
total,11641
positive,11625
also,11616
public,11563
the,11524
could,11485
vacuna,11451
salud,11440
uk,11378
doses,11298
said,11239
der,11152
india,11096
dosis,11077
even,11072
due,10986
million,10917
risk,10852
fully,10836
care,10679
since,10636
may,10596
please,10582
week,10565
work,10534
26,10489
update,10478
see,10462
100,10427
help,10411
country,10373
28,10333
und,10208
rate,10192
october,10169
dr,10138
daily,10081
delta,10080
cdc,10053
study,10023
du,9972
shot,9774
15,9757
safe,9737
si,9732
good,9684
patients,9654
school,9642
latest,9539
go,9529
make,9495
county,9373
años,9280
vacunas,9239
years,9214
est,9211
pour,9141
say,9136
spread,9128
read,9087
getting,9038
em,9015
oct,9004
contagios,8997
well,8956
way,8920
29,8911
infection,8794
reported,8792
18,8777
back,8721
yang,8697
re,8696
das,8653
use,8622
het,8568
report,8545
live,8511
stop,8503
20,8403
case,8354
right,8345
life,8334
moderna,8283
long,8275
non,8260
population,8257
27,8199
restrictions,8169
testing,8148
research,8143
14,8132
mask,8129
days,8124
workers,8075
home,8074
died,8052
two,8034
months,7962
free,7942
hospital,7895
let,7851
going,7761
tests,7704
reports,7658
want,7601
think,7575
global,7567
got,7533
mandate,7505
disease,7495
medical,7473
florida,7472
shots,7420
flu,7411
biden,7399
never,7390
number,7382
countries,7370
untuk,7351
plus,7318
personas,7318
21,7306
van,7255
vaksinasi,7238
unvaccinated,7209
mandates,7203
next,7149
every,7067
in,7035
high,7009
lockdown,6989
trump,6986
keep,6977
travel,6925
je,6887
gt,6873
available,6870
states,6811
anti,6729
50,6674
great,6614
must,6599
ist,6581
mais,6571
usa,6554
man,6552
muertes,6534
immunity,6484
media,6481
masks,6473
another,6465
much,6446
mil,6420
17,6338
community,6337
octubre,6310
made,6308
infections,6284
better,6278
nicht,6248
plan,6230
information,6224
times,6193
to,6177
city,6150
support,6108
fauci,6105
niños,6096
une,6056
impact,6055
everyone,6028
around,6011
22,5998
au,5993
não,5991
pas,5982
whatshappeninginmyanmar,5982
vax,5968
variant,5952
indonesia,5949
according,5891
protect,5886
response,5843
likely,5840
com,5836
end,5823
updated,5804
sars,5798
país,5795
find,5730
canada,5706
post,5702
vaccinations,5686
hoy,5675
come,5642
schools,5631
yet,5615
thanks,5612
tested,5577
16,5574
look,5572
local,5549
really,5520
australia,5515
without,5507
een,5496
confirmed,5479
lives,5479
scientists,5456
wuhan,5439
social,5439
safety,5436
business,5399
pcr,5388
old,5384
face,5376
crisis,5341
vaksin,5339
pandemi,5307
family,5268
ne,5260
science,5250
numbers,5247
sa,5226
outbreak,5216
federal,5188
ages,5185
2022,5166
including,5166
age,5162
students,5149
less,5148
among,5135
young,5117
start,5103
video,5093
change,5093
13,5081
low,5056
child,5022
big,5018
effective,5016
johnson,5013
part,5011
bolsonaro,4994
dos,4923
sur,4915
día,4885
kasus,4879
check,4870
treatment,4862
human,4860
23,4847
hours,4836
learn,4834
far,4812
ca,4806
show,4797
rates,4775
dat,4774
horas,4771
jab,4771
cov,4758
eu,4751
give,4738
president,4716
mit,4705
full,4679
second,4660
money,4658
ini,4658
thank,4651
already,4642
and,4622
real,4611
niet,4610
continue,4591
parents,4586
um,4561
americans,4548
national,4543
article,4541
of,4539
active,4519
emergency,4511
early,4509
dans,4480
best,4462
across,4462
online,4439
control,4437
effects,4422
info,4418
70,4417
ve,4399
qui,4394
received,4394
symptoms,4387
friday,4368
updates,4356
als,4355
méxico,4353
soon,4346
november,4346
zu,4337
er,4333
least,4318
mundo,4305
ontario,4282
dengan,4279
40,4278
system,4275
ivermectin,4256
che,4251
related,4222
últimas,4221
open,4211
millions,4205
dalam,4202
de,4198
vacina,4173
vaccin,4173
shows,4162
00,4149
person,4128
climate,4127
visit,4125
den,4122
cause,4118
от,4109
oh,4092
für,4091
important,4087
administration,4081
past,4071
healthcare,4056
taking,4054
used,4052
60,4052
par,4042
medidas,4041
sure,4026
drug,4024
millones,4011
term,4011
current,4010
von,4006
follow,4004
coming,3994
pm,3969
link,3957
stay,3955
working,3954
fight,3954
90,3953
others,3952
ser,3951
recovery,3937
tell,3937
insights,3930
halloween,3928
biontech,3907
eligible,3905
op,3892
breaking,3892
anyone,3886
freedom,3883
ed,3882
police,3875
done,3856
ce,3854
found,3853
yes,3834
gobierno,3828
thing,3817
youtube,3816
top,3801
staff,3798
ever,3794
place,3781
watch,3780
employees,3779
weeks,3769
enough,3759
80,3759
fallecidos,3734
higher,3722
highest,3695
believe,3692
measures,3689
bei,3684
job,3676
на,3676
evidence,3674
team,3671
venezuela,3662
list,3659
call,3657
increase,3649
access,3644
hope,3642
given,3642
united,3639
using,3626
contre,3620
situation,3618
infected,3602
met,3596
lab,3596
food,3589
argentina,3587
within,3579
america,3577
remember,3574
group,3571
la,3568
house,3568
panel,3566
making,3557
protection,3553
positivos,3548
wave,3532
2019,3525
personal,3519
love,3515
severe,3510
economy,3504
surge,3494
based,3489
datascience,3486
experts,3479
monday,3477
god,3477
semana,3474
boris,3471
doctors,3468
im,3467
able,3467
analytics,3464
no,3463
future,3459
women,3453
three,3450
prevent,3446
officials,3445
third,3441
natural,3441
general,3430
oktober,3429
tuesday,3429
russia,3427
cuba,3425
auf,3414
needs,3414
south,3410
rt,3408
administered,3408
record,3403
brasil,3399
masyarakat,3397
presidente,3397
away,3382
share,3379
put,3368
africa,3363
following,3363
mrna,3359
fact,3355
minister,3354
something,3345
international,3333
point,3323
almost,3321
usafacts,3320
official,3318
mayor,3315
nothing,3298
issues,3297
aged,3294
order,3290
gov,3289
за,3277
france,3274
transmission,3271
facebook,3264
rules,3262
story,3259
sont,3252
auch,3251
sick,3251
book,3232
31,3221
bad,3215
vs,3215
protocols,3214
leaders,3212
โคว,3212
side,3203
education,3196
left,3195
días,3194
it,3194
approved,3193
whole,3190
department,3185
sich,3184
policy,3181
registra,3170
month,3166
level,3164
impfung,3164
lot,3164
solo,3160
aids,3152
kamtibmas,3145
actually,3137
things,3128
población,3127
winter,3121
records,3119
war,3113
possible,3110
doctor,3107
dari,3106
spreading,3098
means,3094
menos,3089
despite,3084
casi,3081
ou,3079
immune,3066
england,3064
kondusif,3055
proof,3047
someone,3044
g20,3040
ich,3037
boosters,3031
voor,3030
vous,3029
través,3018
sind,3017
join,3014
va,3012
rise,3004
called,3001
eine,2998
vaccinate,2994
ahora,2989
nuevo,2986
sosialisasiedukasiprokescipta,2980
thursday,2973
lost,2972
sie,2970
pass,2970
tercera,2967
this,2948
wear,2945
true,2945
reduce,2944
law,2942
project,2939
mental,2936
app,2930
hit,2923
nih,2920
sheeran,2915
killed,2913
99,2911
source,2906
always,2902
currently,2900
nhs,2894
covidvaccine,2886
pemerintah,2886
york,2885
you,2880
jokowi,2874
on,2871
jobs,2869
twitter,2866
for,2864
qu,2864
adults,2843
might,2843
ai,2842
reporting,2832
refugees,2830
zijn,2823
affected,2821
questions,2821
trying,2816
cas,2812
american,2805
save,2797
ng,2794
members,2794
economic,2794
results,2786
dead,2786
europe,2783
ll,2782
hiv,2780
status,2778
hospitals,2775
provide,2774
different,2773
services,2769
saying,2768
history,2761
en,2758
program,2758
pacientes,2757
negative,2750
vacunados,2745
little,2743
sense,2742
vote,2739
bien,2736
air,2735
el,2735
cnn,2727
truth,2720
half,2715
merck,2714
etc,2706
residents,2703
amid,2702
avec,2688
wrong,2688
hospitalizations,2683
feel,2680
así,2679
lowest,2677
supply,2676
continues,2663
ein,2662
ago,2659
receive,2653
needed,2652
date,2650
fake,2650
caused,2649
