centroid
[-122.30950312548049, 37.55248]
[88.39675397063142, 22.6126825]
[-43.47679982453417, -22.908248999999998]
[-54.347518496867465, -20.874911]
[-2.171273060577163, 53.36757405]
[1.0852797950722075, 49.441205100000005]
[-69.39138763566132, 8.9637285]
[-78.22542511852362, 38.003541999999996]
[-55.86913589919476, -33.764072999999996]
[-79.27831878185876, 43.629361]
[-58.97871319297235, -34.3166419]
[-123.35726172518457, 48.4266115]
[-64.35683558075733, -33.1238005]
[-79.19277586081512, -2.86592699855891]
[-123.0077446245048, 49.354043000000004]
[-75.61788482940216, 6.273409998578325]
[-49.26533244198062, -16.642891]
[-38.48738161402011, -12.8752682]
[-95.46022137618831, 29.7076766]
[-15.457024749447575, 28.10301545]
[-96.73016683990949, 32.819865500000006]
[-57.60872268897312, -25.300369250000003]
[-63.915451632229235, -37.0875635]
[-74.19859422093097, 4.2620515010534845]
[-73.97504635547465, 40.8898012]
[-97.15053371307181, 31.5474053]
[-111.54923582736677, 39.4987585]
[-77.03479858735744, 38.928253]
[-100.02804345523697, 41.5006615]
[-73.32159311336997, 5.064958499662065]
[-46.46453120872865, -23.3922755]
[-75.49489445358387, 10.390213195262199]
[150.96870742118324, -33.8482430125]
[-103.33402112660934, 20.676676049999998]
[-34.930913091307545, -8.0436666]
[-35.002979814795566, -8.1487415]
[-78.49034317657481, 38.0400815]
[109.28787444651391, -7.3061665]
[79.50676151620678, 17.881371]
[-58.283050589940814, -34.747858]
[2.3200448684016433, 48.8587725]
[4.048136260293081, 49.25352530000001]
[-58.44624422507712, -34.60445005]
[113.47258957327587, 3.1840070999999996]
[-71.17072873057455, 42.417049]
[-60.62426433959101, -33.023099450000004]
[-70.94906662062756, 42.854244]
[-42.88084835279412, -20.7487095]
[115.83018576955499, -31.83938873875]
[-8.885412520846934, 53.343361200000004]
[-57.392120060226596, -25.545136]
[120.81434754908472, 17.6352113]
[-89.6520806735113, 20.941367]
[-80.13649763714784, 25.95612355]
[-81.48477434142401, 8.418274]
[-118.0005917297972, 33.6925551]
[-81.55781848866349, 27.698442]
[-60.69350625544267, -32.951572]
[-117.39766901415095, 47.667305999999996]
[-46.71709015923788, -23.68305]
[-78.50758778354512, -0.166624998774166]
[-56.44641980283534, -25.77880855]
[-5.959033999854785, 37.383047149999996]
[-86.76380153965101, 37.946383]
[-73.39342089132312, 5.49079850044682]
[-69.28269160738321, 18.4878192754783]
[-90.28701333512204, 15.7725367]
[-73.12526952277955, -36.7948393]
[23.799487219623604, 37.994636549999996]
[-39.296341442989345, -14.86194105]
[-122.54466405702172, 45.782002500000004]
[-75.697252570845, 39.7367838]
[-79.74353192502639, 43.725062]
[-57.392120060226596, -25.545136]
[-58.883051163955976, -34.4604528]
[120.81434754908472, 17.6352113]
[-79.27831878185876, 43.629361]
[-49.11807332465935, -26.8727024]
[9.246196753221877, 45.61934855]
[-43.47679982453417, -22.908248999999998]
[-82.95267208837973, 39.994663]
[-90.24253450801241, 38.6537705]
[-90.28701333512204, 15.7725367]
[-70.6198163921371, -33.434335408612036]
[-49.240368351900074, -23.53391]
[-67.42329897976065, 10.2153292]
[-58.70925176403061, -34.7028265]
[-5.897651067099982, 54.566839650000006]
[-39.296341442989345, -14.86194105]
[-77.16937227058824, 39.194024]
[-88.02455500838832, 43.084648235194095]
[-114.04977333200725, 51.026137]
[-89.05271260339364, 30.425684]
[-59.42641608483318, -34.661165999999994]
